Traffic,Employees,Database Interaction,Database Size,Access Layers,Roles,Database Severity,Monitoring,IDS/IPS,Authentication Method,Encryption,Firewall,Access Management,Rules and Regulations,Compliance Management,Framework,Cookie Management,Disaster Recovery & Backup
500k-1m,940,No Interaction,200-400GB,3,5,Medium,Partial,Zeek IDS,MFA + Biometrics,ECC,Next-Gen FW,Attribute-based,"ISO27017, GDPR",ISO27017,NIST CSF,Enabled,Geo-Distributed Backup
10k-100k,860,No Interaction,0-100GB,5,4,Low,Complete,Custom IDS/IPS,MFA,RSA + AES-256,UTM Firewall,Attribute-based,"GDPR, ISO27001",ISO27017,OWASP,Advanced,Redundant Backup Systems
1-10k,420,No Interaction,200-400GB,4,9,Low,Complete,Suricata IPS,MFA + Biometrics,RSA + AES-256,Next-Gen FW,Policy-based,"ISO27017, GDPR",ISO27001,OWASP,Enabled,Geo-Distributed Backup
1-10k,520,Partial Interaction,200-400GB,4,4,Medium,Partial,Custom IDS/IPS,MFA + Biometrics,ECC,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",ISO27001,COBIT,Advanced,Geo-Distributed Backup
500k-1m,310,Partial Interaction,200-400GB,5,6,High,Complete,Suricata IPS,PKI,RSA + AES-256,Basic Firewall,Policy-based,"HIPAA, GDPR",ISO27017,Zero Trust,Advanced,Cloud Backup
1-10k,990,Partial Interaction,200-400GB,4,5,Low,Partial,Snort IDS,PKI,AES-128,Advanced FW,Attribute-based,"GDPR, ISO27001",SOC 2,COBIT,Enabled,Geo-Distributed Backup
100k-500k,130,Partial Interaction,0-100GB,4,9,Low,Complete,Suricata IPS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,Zero Trust,Enabled,Cloud Backup
500k-1m,230,No Interaction,400+GB,3,9,High,Complete,Snort IDS,MFA,ECC,UTM Firewall,Policy-based,"ISO27017, GDPR",PCI DSS,Zero Trust,Enabled,On-Prem Backup
1-10k,790,No Interaction,0-100GB,3,7,High,Complete,Custom IDS/IPS,MFA + Biometrics,AES-256,Advanced FW,Role-based,"HIPAA, GDPR",ISO27017,NIST CSF,Enabled,Redundant Backup Systems
1-10k,830,Partial Interaction,100-200GB,3,7,Medium,Complete,Suricata IPS,MFA + Biometrics,AES-128,Basic Firewall,Role-based,"HIPAA, GDPR",ISO27017,NIST CSF,Advanced,Redundant Backup Systems
1-10k,480,No Interaction,0-100GB,5,4,Low,Complete,Custom IDS/IPS,PKI,ECC,Advanced FW,Role-based,"HIPAA, GDPR",ISO27001,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,60,Partial Interaction,0-100GB,3,8,Low,Complete,Custom IDS/IPS,PKI,AES-128,Advanced FW,Policy-based,"ISO27017, GDPR",SOC 2,OWASP,Enabled,Cloud Backup
500k-1m,590,No Interaction,400+GB,5,10,High,Complete,Suricata IPS,PKI,ECC,Advanced FW,Attribute-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Enabled,On-Prem Backup
500k-1m,390,No Interaction,400+GB,5,9,Low,Complete,Snort IDS,MFA,RSA + AES-256,UTM Firewall,Attribute-based,"GDPR, ISO27001",ISO27017,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,410,No Interaction,400+GB,3,3,Medium,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,Next-Gen FW,Policy-based,"ISO27017, GDPR",ISO27001,NIST CSF,Advanced,Redundant Backup Systems
100k-500k,380,Partial Interaction,200-400GB,3,5,High,Partial,Zeek IDS,MFA,RSA + AES-256,UTM Firewall,Role-based,"PCI DSS, GDPR",SOC 2,COBIT,Advanced,Redundant Backup Systems
10k-100k,50,No Interaction,0-100GB,3,4,Low,Complete,Suricata IPS,MFA + Biometrics,AES-256,UTM Firewall,Attribute-based,"PCI DSS, GDPR",SOC 2,OWASP,Enabled,On-Prem Backup
500k-1m,170,No Interaction,400+GB,4,5,Low,Partial,Snort IDS,PKI,AES-128,Basic Firewall,Policy-based,"PCI DSS, GDPR",PCI DSS,NIST CSF,Advanced,Geo-Distributed Backup
100k-500k,840,Partial Interaction,0-100GB,3,6,Medium,Complete,Zeek IDS,MFA,RSA + AES-256,Basic Firewall,Role-based,"HIPAA, GDPR",ISO27001,NIST CSF,Enabled,On-Prem Backup
500k-1m,100,Partial Interaction,200-400GB,4,3,Medium,Partial,Custom IDS/IPS,MFA,AES-256,Next-Gen FW,Policy-based,"PCI DSS, GDPR",ISO27001,OWASP,Enabled,Geo-Distributed Backup
100k-500k,690,Partial Interaction,0-100GB,4,9,Medium,Complete,Custom IDS/IPS,PKI,RSA + AES-256,Advanced FW,Role-based,"ISO27017, GDPR",SOC 2,OWASP,Enabled,Cloud Backup
1-10k,810,Partial Interaction,0-100GB,4,7,Medium,Partial,Snort IDS,MFA,ECC,UTM Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Enabled,Geo-Distributed Backup
500k-1m,520,No Interaction,0-100GB,4,5,Low,Partial,Custom IDS/IPS,MFA,AES-256,UTM Firewall,Role-based,"GDPR, ISO27001",ISO27001,NIST CSF,Enabled,Redundant Backup Systems
10k-100k,120,No Interaction,200-400GB,4,5,High,Complete,Zeek IDS,MFA,RSA + AES-256,UTM Firewall,Policy-based,"PCI DSS, GDPR",ISO27017,OWASP,Enabled,Geo-Distributed Backup
1-10k,790,No Interaction,200-400GB,4,4,Medium,Partial,Snort IDS,MFA,RSA + AES-256,Next-Gen FW,Policy-based,"PCI DSS, GDPR",SOC 2,NIST CSF,Advanced,On-Prem Backup
500k-1m,60,Partial Interaction,100-200GB,3,6,Medium,Complete,Suricata IPS,Password-based,ECC,Next-Gen FW,Attribute-based,"HIPAA, GDPR",SOC 2,NIST CSF,Enabled,Redundant Backup Systems
500k-1m,230,No Interaction,100-200GB,5,5,High,Partial,Zeek IDS,MFA,ECC,Next-Gen FW,Policy-based,"ISO27017, GDPR",SOC 2,OWASP,Enabled,On-Prem Backup
1-10k,530,No Interaction,200-400GB,4,7,Medium,Complete,Suricata IPS,PKI,AES-256,Next-Gen FW,Attribute-based,"GDPR, ISO27001",SOC 2,Zero Trust,Advanced,On-Prem Backup
10k-100k,900,Partial Interaction,400+GB,5,9,Low,Complete,Custom IDS/IPS,PKI,AES-256,Basic Firewall,Attribute-based,"GDPR, ISO27001",ISO27001,Zero Trust,Advanced,Geo-Distributed Backup
500k-1m,820,Partial Interaction,100-200GB,5,7,Low,Complete,Snort IDS,Password-based,AES-256,Next-Gen FW,Policy-based,"ISO27017, GDPR",ISO27001,NIST CSF,Advanced,On-Prem Backup
10k-100k,800,Partial Interaction,0-100GB,3,9,Low,Partial,Custom IDS/IPS,Password-based,ECC,Next-Gen FW,Policy-based,"GDPR, ISO27001",SOC 2,OWASP,Advanced,On-Prem Backup
1-10k,960,Partial Interaction,200-400GB,5,7,Low,Complete,Zeek IDS,MFA,ECC,UTM Firewall,Policy-based,"PCI DSS, GDPR",ISO27001,OWASP,Enabled,Redundant Backup Systems
1-10k,940,Partial Interaction,400+GB,4,8,Medium,Partial,Custom IDS/IPS,PKI,AES-256,Advanced FW,Attribute-based,"HIPAA, GDPR",ISO27017,NIST CSF,Advanced,On-Prem Backup
10k-100k,760,No Interaction,0-100GB,5,4,Low,Complete,Suricata IPS,MFA,RSA + AES-256,Next-Gen FW,Role-based,"HIPAA, GDPR",ISO27001,COBIT,Advanced,On-Prem Backup
10k-100k,850,No Interaction,200-400GB,4,6,Medium,Partial,Custom IDS/IPS,MFA + Biometrics,AES-256,UTM Firewall,Role-based,"PCI DSS, GDPR",ISO27001,COBIT,Enabled,Geo-Distributed Backup
500k-1m,950,Partial Interaction,400+GB,3,8,High,Complete,Zeek IDS,MFA,AES-128,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27001,OWASP,Enabled,Geo-Distributed Backup
10k-100k,360,Partial Interaction,400+GB,3,3,Low,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,Advanced FW,Attribute-based,"GDPR, ISO27001",PCI DSS,OWASP,Enabled,Cloud Backup
100k-500k,470,No Interaction,0-100GB,5,5,High,Complete,Suricata IPS,PKI,RSA + AES-256,UTM Firewall,Attribute-based,"ISO27017, GDPR",SOC 2,COBIT,Advanced,Redundant Backup Systems
1-10k,60,No Interaction,200-400GB,5,9,Low,Partial,Zeek IDS,Password-based,AES-128,UTM Firewall,Policy-based,"PCI DSS, GDPR",ISO27017,COBIT,Advanced,Redundant Backup Systems
1-10k,180,Partial Interaction,100-200GB,5,6,Medium,Partial,Snort IDS,MFA,AES-128,UTM Firewall,Policy-based,"HIPAA, GDPR",SOC 2,NIST CSF,Advanced,On-Prem Backup
500k-1m,970,Partial Interaction,0-100GB,4,8,Low,Complete,Suricata IPS,PKI,AES-256,Next-Gen FW,Role-based,"ISO27017, GDPR",SOC 2,NIST CSF,Advanced,Redundant Backup Systems
1-10k,210,Partial Interaction,200-400GB,5,9,Low,Complete,Zeek IDS,MFA + Biometrics,ECC,Next-Gen FW,Attribute-based,"GDPR, ISO27001",ISO27001,COBIT,Advanced,On-Prem Backup
1-10k,40,No Interaction,100-200GB,5,9,High,Partial,Suricata IPS,Password-based,ECC,Advanced FW,Policy-based,"GDPR, ISO27001",PCI DSS,NIST CSF,Enabled,On-Prem Backup
1-10k,840,Partial Interaction,100-200GB,5,4,Medium,Partial,Custom IDS/IPS,Password-based,AES-256,Next-Gen FW,Role-based,"GDPR, ISO27001",ISO27001,Zero Trust,Advanced,On-Prem Backup
10k-100k,270,Partial Interaction,400+GB,4,10,Low,Complete,Custom IDS/IPS,MFA + Biometrics,AES-128,Next-Gen FW,Policy-based,"HIPAA, GDPR",PCI DSS,COBIT,Enabled,Cloud Backup
1-10k,870,No Interaction,400+GB,5,3,High,Partial,Snort IDS,MFA,AES-128,UTM Firewall,Policy-based,"PCI DSS, GDPR",PCI DSS,COBIT,Enabled,Geo-Distributed Backup
500k-1m,530,No Interaction,0-100GB,5,7,Low,Partial,Zeek IDS,Password-based,AES-256,Advanced FW,Attribute-based,"GDPR, ISO27001",SOC 2,Zero Trust,Advanced,Cloud Backup
500k-1m,400,No Interaction,0-100GB,3,4,Low,Partial,Suricata IPS,MFA + Biometrics,AES-128,UTM Firewall,Role-based,"GDPR, ISO27001",ISO27001,OWASP,Advanced,Cloud Backup
1-10k,690,No Interaction,400+GB,4,6,High,Complete,Custom IDS/IPS,Password-based,AES-128,Basic Firewall,Policy-based,"HIPAA, GDPR",SOC 2,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,940,Partial Interaction,0-100GB,4,9,High,Partial,Zeek IDS,MFA,AES-128,Next-Gen FW,Policy-based,"GDPR, ISO27001",ISO27017,OWASP,Enabled,Geo-Distributed Backup
500k-1m,850,No Interaction,0-100GB,3,6,Low,Partial,Zeek IDS,Password-based,RSA + AES-256,Advanced FW,Role-based,"HIPAA, GDPR",ISO27017,COBIT,Advanced,Geo-Distributed Backup
1-10k,720,No Interaction,400+GB,5,5,High,Complete,Custom IDS/IPS,Password-based,AES-256,Advanced FW,Policy-based,"PCI DSS, GDPR",SOC 2,Zero Trust,Advanced,Cloud Backup
100k-500k,820,No Interaction,400+GB,4,5,Medium,Complete,Suricata IPS,MFA,ECC,Advanced FW,Role-based,"ISO27017, GDPR",SOC 2,NIST CSF,Enabled,Redundant Backup Systems
10k-100k,940,Partial Interaction,400+GB,5,5,Medium,Complete,Snort IDS,Password-based,ECC,Next-Gen FW,Attribute-based,"HIPAA, GDPR",ISO27017,NIST CSF,Enabled,Cloud Backup
100k-500k,530,No Interaction,200-400GB,4,7,High,Partial,Zeek IDS,Password-based,AES-256,UTM Firewall,Policy-based,"GDPR, ISO27001",ISO27001,NIST CSF,Enabled,On-Prem Backup
10k-100k,170,Partial Interaction,200-400GB,4,9,High,Partial,Custom IDS/IPS,PKI,ECC,Advanced FW,Policy-based,"ISO27017, GDPR",PCI DSS,NIST CSF,Advanced,Geo-Distributed Backup
1-10k,710,Partial Interaction,400+GB,5,10,Low,Complete,Custom IDS/IPS,Password-based,AES-256,Advanced FW,Attribute-based,"ISO27017, GDPR",SOC 2,Zero Trust,Enabled,On-Prem Backup
500k-1m,250,Partial Interaction,0-100GB,5,9,Low,Partial,Custom IDS/IPS,PKI,AES-256,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27017,COBIT,Enabled,Redundant Backup Systems
100k-500k,480,No Interaction,200-400GB,5,6,Medium,Complete,Suricata IPS,Password-based,RSA + AES-256,Next-Gen FW,Policy-based,"GDPR, ISO27001",SOC 2,COBIT,Enabled,Geo-Distributed Backup
100k-500k,260,No Interaction,400+GB,3,6,Medium,Complete,Zeek IDS,PKI,AES-256,Advanced FW,Attribute-based,"ISO27017, GDPR",ISO27001,Zero Trust,Advanced,On-Prem Backup
500k-1m,40,Partial Interaction,100-200GB,3,9,Medium,Partial,Custom IDS/IPS,PKI,AES-128,UTM Firewall,Attribute-based,"HIPAA, GDPR",ISO27017,OWASP,Enabled,Cloud Backup
1-10k,460,Partial Interaction,100-200GB,4,9,Low,Partial,Custom IDS/IPS,Password-based,AES-256,Next-Gen FW,Attribute-based,"GDPR, ISO27001",ISO27017,Zero Trust,Enabled,Redundant Backup Systems
500k-1m,450,No Interaction,0-100GB,4,8,Medium,Complete,Zeek IDS,MFA,RSA + AES-256,Advanced FW,Policy-based,"ISO27017, GDPR",ISO27001,NIST CSF,Enabled,Geo-Distributed Backup
1-10k,860,Partial Interaction,400+GB,3,9,Low,Partial,Custom IDS/IPS,Password-based,RSA + AES-256,UTM Firewall,Attribute-based,"ISO27017, GDPR",SOC 2,NIST CSF,Enabled,Cloud Backup
10k-100k,330,Partial Interaction,100-200GB,3,4,High,Partial,Zeek IDS,MFA,ECC,Next-Gen FW,Policy-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Advanced,Redundant Backup Systems
500k-1m,480,No Interaction,200-400GB,3,3,High,Complete,Suricata IPS,MFA,AES-128,Advanced FW,Attribute-based,"PCI DSS, GDPR",PCI DSS,OWASP,Enabled,Redundant Backup Systems
1-10k,860,No Interaction,200-400GB,3,5,Medium,Partial,Custom IDS/IPS,MFA,ECC,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",SOC 2,COBIT,Advanced,On-Prem Backup
1-10k,700,No Interaction,0-100GB,5,4,Medium,Complete,Snort IDS,MFA,AES-128,Basic Firewall,Policy-based,"HIPAA, GDPR",ISO27001,OWASP,Enabled,Geo-Distributed Backup
10k-100k,980,No Interaction,400+GB,3,7,High,Complete,Suricata IPS,MFA,AES-128,UTM Firewall,Role-based,"PCI DSS, GDPR",ISO27001,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,540,No Interaction,0-100GB,3,9,High,Partial,Suricata IPS,MFA + Biometrics,AES-128,Basic Firewall,Role-based,"PCI DSS, GDPR",PCI DSS,COBIT,Advanced,Cloud Backup
500k-1m,660,Partial Interaction,400+GB,3,3,Medium,Partial,Custom IDS/IPS,MFA,AES-256,Advanced FW,Role-based,"HIPAA, GDPR",ISO27017,OWASP,Enabled,On-Prem Backup
1-10k,110,No Interaction,200-400GB,5,6,High,Complete,Custom IDS/IPS,MFA,AES-256,Next-Gen FW,Attribute-based,"HIPAA, GDPR",PCI DSS,OWASP,Enabled,On-Prem Backup
500k-1m,930,No Interaction,400+GB,4,10,Low,Complete,Zeek IDS,Password-based,AES-256,Basic Firewall,Attribute-based,"ISO27017, GDPR",PCI DSS,COBIT,Advanced,Cloud Backup
10k-100k,310,No Interaction,400+GB,3,9,High,Partial,Suricata IPS,MFA,ECC,UTM Firewall,Role-based,"PCI DSS, GDPR",PCI DSS,COBIT,Enabled,Redundant Backup Systems
1-10k,470,No Interaction,400+GB,3,10,Medium,Partial,Suricata IPS,MFA,RSA + AES-256,UTM Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,Zero Trust,Advanced,On-Prem Backup
100k-500k,300,No Interaction,100-200GB,5,7,Medium,Complete,Zeek IDS,PKI,ECC,Basic Firewall,Attribute-based,"PCI DSS, GDPR",SOC 2,COBIT,Enabled,On-Prem Backup
100k-500k,860,No Interaction,0-100GB,5,10,Medium,Complete,Custom IDS/IPS,Password-based,AES-128,Advanced FW,Attribute-based,"PCI DSS, GDPR",ISO27017,OWASP,Advanced,On-Prem Backup
1-10k,630,Partial Interaction,400+GB,3,9,Medium,Complete,Custom IDS/IPS,MFA,RSA + AES-256,Advanced FW,Role-based,"ISO27017, GDPR",ISO27001,COBIT,Enabled,Geo-Distributed Backup
500k-1m,860,Partial Interaction,100-200GB,4,10,Low,Partial,Zeek IDS,PKI,AES-256,Next-Gen FW,Attribute-based,"GDPR, ISO27001",PCI DSS,Zero Trust,Advanced,On-Prem Backup
100k-500k,120,Partial Interaction,0-100GB,3,7,Low,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,UTM Firewall,Policy-based,"HIPAA, GDPR",SOC 2,COBIT,Advanced,On-Prem Backup
100k-500k,550,No Interaction,400+GB,4,5,Low,Complete,Zeek IDS,Password-based,AES-256,Advanced FW,Attribute-based,"ISO27017, GDPR",PCI DSS,COBIT,Advanced,Redundant Backup Systems
1-10k,440,No Interaction,200-400GB,4,4,Medium,Complete,Zeek IDS,Password-based,RSA + AES-256,Advanced FW,Attribute-based,"ISO27017, GDPR",ISO27017,OWASP,Enabled,Geo-Distributed Backup
1-10k,840,No Interaction,100-200GB,5,5,Medium,Complete,Custom IDS/IPS,PKI,AES-256,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27001,COBIT,Advanced,On-Prem Backup
10k-100k,310,Partial Interaction,400+GB,4,10,High,Partial,Zeek IDS,PKI,RSA + AES-256,Next-Gen FW,Policy-based,"PCI DSS, GDPR",SOC 2,Zero Trust,Enabled,Geo-Distributed Backup
10k-100k,670,Partial Interaction,400+GB,4,5,Medium,Complete,Snort IDS,PKI,AES-128,Advanced FW,Attribute-based,"GDPR, ISO27001",PCI DSS,COBIT,Advanced,Redundant Backup Systems
10k-100k,230,No Interaction,0-100GB,5,6,Medium,Partial,Snort IDS,MFA,ECC,Advanced FW,Role-based,"PCI DSS, GDPR",PCI DSS,Zero Trust,Advanced,Redundant Backup Systems
100k-500k,940,No Interaction,0-100GB,5,6,Low,Partial,Zeek IDS,MFA,AES-256,Basic Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Enabled,Geo-Distributed Backup
10k-100k,860,Partial Interaction,400+GB,5,8,Medium,Partial,Zeek IDS,MFA,AES-256,UTM Firewall,Attribute-based,"ISO27017, GDPR",ISO27017,Zero Trust,Enabled,On-Prem Backup
500k-1m,210,No Interaction,400+GB,4,5,Medium,Complete,Zeek IDS,MFA + Biometrics,RSA + AES-256,UTM Firewall,Policy-based,"HIPAA, GDPR",SOC 2,NIST CSF,Advanced,Cloud Backup
500k-1m,610,No Interaction,0-100GB,3,8,Medium,Complete,Zeek IDS,MFA + Biometrics,AES-256,Basic Firewall,Attribute-based,"ISO27017, GDPR",ISO27017,Zero Trust,Enabled,Redundant Backup Systems
10k-100k,40,Partial Interaction,100-200GB,5,10,High,Complete,Zeek IDS,PKI,AES-256,Basic Firewall,Role-based,"ISO27017, GDPR",PCI DSS,COBIT,Advanced,Cloud Backup
500k-1m,980,Partial Interaction,0-100GB,5,8,High,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,Advanced FW,Policy-based,"PCI DSS, GDPR",SOC 2,COBIT,Enabled,Redundant Backup Systems
500k-1m,680,Partial Interaction,0-100GB,5,5,Low,Complete,Zeek IDS,MFA + Biometrics,AES-128,UTM Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,OWASP,Advanced,Redundant Backup Systems
500k-1m,240,Partial Interaction,200-400GB,4,9,Medium,Complete,Zeek IDS,PKI,AES-256,Next-Gen FW,Policy-based,"GDPR, ISO27001",SOC 2,NIST CSF,Advanced,On-Prem Backup
100k-500k,540,No Interaction,400+GB,4,5,Low,Complete,Custom IDS/IPS,MFA + Biometrics,AES-256,Next-Gen FW,Policy-based,"HIPAA, GDPR",ISO27017,NIST CSF,Advanced,Geo-Distributed Backup
1-10k,990,Partial Interaction,100-200GB,3,3,Medium,Partial,Custom IDS/IPS,MFA,AES-128,Basic Firewall,Attribute-based,"HIPAA, GDPR",SOC 2,Zero Trust,Advanced,Cloud Backup
500k-1m,560,Partial Interaction,200-400GB,5,9,Medium,Complete,Suricata IPS,MFA,ECC,UTM Firewall,Policy-based,"HIPAA, GDPR",SOC 2,OWASP,Enabled,Redundant Backup Systems
500k-1m,940,Partial Interaction,100-200GB,3,10,Medium,Complete,Custom IDS/IPS,Password-based,ECC,Advanced FW,Attribute-based,"ISO27017, GDPR",ISO27017,Zero Trust,Advanced,Redundant Backup Systems
1-10k,110,No Interaction,100-200GB,3,3,Low,Partial,Custom IDS/IPS,MFA + Biometrics,ECC,UTM Firewall,Role-based,"ISO27017, GDPR",ISO27001,NIST CSF,Enabled,On-Prem Backup
10k-100k,740,No Interaction,400+GB,3,6,Low,Partial,Zeek IDS,MFA,AES-256,UTM Firewall,Role-based,"HIPAA, GDPR",ISO27001,Zero Trust,Enabled,Geo-Distributed Backup
100k-500k,240,No Interaction,400+GB,5,6,High,Complete,Snort IDS,MFA + Biometrics,ECC,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27017,COBIT,Enabled,On-Prem Backup
500k-1m,320,Partial Interaction,200-400GB,4,10,Medium,Complete,Custom IDS/IPS,MFA,RSA + AES-256,UTM Firewall,Role-based,"HIPAA, GDPR",SOC 2,OWASP,Enabled,Redundant Backup Systems
100k-500k,470,No Interaction,100-200GB,5,8,Medium,Partial,Custom IDS/IPS,Password-based,ECC,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",SOC 2,Zero Trust,Advanced,Geo-Distributed Backup
100k-500k,130,No Interaction,0-100GB,4,8,Medium,Partial,Snort IDS,MFA + Biometrics,AES-256,Next-Gen FW,Attribute-based,"ISO27017, GDPR",PCI DSS,NIST CSF,Advanced,Redundant Backup Systems
1-10k,710,No Interaction,0-100GB,4,8,Low,Complete,Custom IDS/IPS,MFA,AES-256,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",ISO27017,OWASP,Advanced,Redundant Backup Systems
100k-500k,440,No Interaction,400+GB,5,7,Medium,Complete,Suricata IPS,MFA + Biometrics,AES-128,Advanced FW,Attribute-based,"ISO27017, GDPR",ISO27001,Zero Trust,Advanced,On-Prem Backup
100k-500k,470,No Interaction,0-100GB,5,3,Low,Complete,Custom IDS/IPS,MFA + Biometrics,AES-256,Next-Gen FW,Role-based,"HIPAA, GDPR",SOC 2,NIST CSF,Enabled,Cloud Backup
10k-100k,400,Partial Interaction,0-100GB,5,3,High,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Role-based,"GDPR, ISO27001",SOC 2,OWASP,Advanced,Geo-Distributed Backup
500k-1m,20,No Interaction,0-100GB,4,10,Low,Partial,Suricata IPS,PKI,ECC,Next-Gen FW,Attribute-based,"ISO27017, GDPR",SOC 2,Zero Trust,Advanced,Geo-Distributed Backup
1-10k,200,Partial Interaction,400+GB,5,6,Low,Complete,Suricata IPS,PKI,ECC,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27017,OWASP,Enabled,Redundant Backup Systems
500k-1m,800,Partial Interaction,400+GB,5,4,Low,Partial,Suricata IPS,MFA,RSA + AES-256,Advanced FW,Role-based,"HIPAA, GDPR",PCI DSS,COBIT,Advanced,On-Prem Backup
10k-100k,350,Partial Interaction,200-400GB,3,6,Medium,Partial,Snort IDS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Attribute-based,"HIPAA, GDPR",SOC 2,OWASP,Enabled,On-Prem Backup
100k-500k,220,No Interaction,200-400GB,5,7,Low,Complete,Zeek IDS,Password-based,AES-128,UTM Firewall,Role-based,"HIPAA, GDPR",PCI DSS,COBIT,Advanced,Redundant Backup Systems
100k-500k,910,Partial Interaction,100-200GB,3,4,Low,Complete,Custom IDS/IPS,PKI,RSA + AES-256,Advanced FW,Attribute-based,"PCI DSS, GDPR",SOC 2,OWASP,Enabled,On-Prem Backup
10k-100k,110,Partial Interaction,100-200GB,4,6,High,Complete,Snort IDS,PKI,ECC,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27001,COBIT,Advanced,Cloud Backup
1-10k,450,Partial Interaction,200-400GB,4,8,Medium,Partial,Custom IDS/IPS,MFA + Biometrics,ECC,Next-Gen FW,Role-based,"GDPR, ISO27001",SOC 2,COBIT,Advanced,Cloud Backup
500k-1m,220,Partial Interaction,100-200GB,3,6,Low,Complete,Suricata IPS,Password-based,AES-128,Advanced FW,Policy-based,"ISO27017, GDPR",ISO27001,OWASP,Enabled,Redundant Backup Systems
100k-500k,250,No Interaction,400+GB,3,4,Medium,Complete,Custom IDS/IPS,PKI,ECC,Advanced FW,Attribute-based,"GDPR, ISO27001",ISO27017,Zero Trust,Enabled,Cloud Backup
1-10k,30,No Interaction,100-200GB,3,6,Medium,Partial,Zeek IDS,Password-based,AES-128,Next-Gen FW,Role-based,"HIPAA, GDPR",ISO27017,Zero Trust,Enabled,Geo-Distributed Backup
10k-100k,860,Partial Interaction,0-100GB,4,8,Low,Complete,Suricata IPS,MFA,ECC,Basic Firewall,Role-based,"ISO27017, GDPR",PCI DSS,OWASP,Enabled,Geo-Distributed Backup
100k-500k,190,No Interaction,400+GB,5,8,Medium,Complete,Custom IDS/IPS,PKI,RSA + AES-256,Next-Gen FW,Attribute-based,"ISO27017, GDPR",ISO27017,NIST CSF,Advanced,On-Prem Backup
100k-500k,580,Partial Interaction,100-200GB,5,3,High,Complete,Snort IDS,MFA,AES-256,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27017,OWASP,Advanced,On-Prem Backup
1-10k,250,No Interaction,200-400GB,3,5,Low,Partial,Suricata IPS,PKI,AES-256,Next-Gen FW,Policy-based,"HIPAA, GDPR",SOC 2,Zero Trust,Enabled,Geo-Distributed Backup
1-10k,360,Partial Interaction,400+GB,4,8,Medium,Partial,Suricata IPS,PKI,RSA + AES-256,Basic Firewall,Role-based,"PCI DSS, GDPR",SOC 2,COBIT,Advanced,Cloud Backup
500k-1m,800,Partial Interaction,400+GB,4,9,Medium,Complete,Zeek IDS,Password-based,AES-128,UTM Firewall,Attribute-based,"PCI DSS, GDPR",PCI DSS,COBIT,Advanced,Redundant Backup Systems
10k-100k,800,Partial Interaction,200-400GB,4,6,Low,Partial,Snort IDS,Password-based,ECC,Basic Firewall,Policy-based,"HIPAA, GDPR",ISO27001,COBIT,Enabled,Cloud Backup
1-10k,450,Partial Interaction,0-100GB,5,9,High,Partial,Custom IDS/IPS,MFA,ECC,Advanced FW,Policy-based,"PCI DSS, GDPR",PCI DSS,NIST CSF,Advanced,Redundant Backup Systems
1-10k,610,Partial Interaction,0-100GB,4,7,Low,Partial,Suricata IPS,PKI,RSA + AES-256,Next-Gen FW,Attribute-based,"HIPAA, GDPR",PCI DSS,COBIT,Advanced,Cloud Backup
500k-1m,270,No Interaction,100-200GB,4,7,High,Partial,Custom IDS/IPS,Password-based,AES-128,Next-Gen FW,Attribute-based,"ISO27017, GDPR",SOC 2,COBIT,Enabled,Geo-Distributed Backup
100k-500k,920,No Interaction,100-200GB,3,5,High,Complete,Zeek IDS,Password-based,ECC,Advanced FW,Role-based,"PCI DSS, GDPR",PCI DSS,OWASP,Enabled,Geo-Distributed Backup
100k-500k,300,Partial Interaction,100-200GB,3,10,High,Partial,Suricata IPS,PKI,RSA + AES-256,Basic Firewall,Attribute-based,"GDPR, ISO27001",ISO27001,COBIT,Advanced,On-Prem Backup
